precip_type,total,total_accumulation,total_trace,ice,ice_accretion,ice_trace,note,narrative,id,city,state,zipcode,start,end,location_id
Wintry Mix,2.1,2.1,,Coating,0,Coating,,"Snow Changes to Wintry Mix December 22nd. A steady light to moderate snow entered the area between 5:00 and 7:00 AM December 22nd with temperatures in the low 20s. There was a brief lull in the snowfall during the late morning, before the steady snow returned during the afternoon and evening. The precipitation began mixing with, and changing to sleet and freezing rain between 8:00 and 10:00 PM that evening. The freezing rain continued through 12:00 to 2:00 AM December 23rd with temperatures remaining steady in the mid 20s. Note: The freezing rain and ice that occurred later on December 23rd will be covered in another report.",27988,Lowell,MA,01851,2017-12-22T02:00:00,2017-12-22T23:00:00,38859
Freezing Rain,0.0,0.0,,0.25,0.25,,,"Low Pressure Brings Long Duration Icing Event December 23rd. A mix of freezing rain and sleet entered the area between 6:00 and 8:00 AM December 23rd with temperatures in the mid 20s. Freezing rain continued through the afternoon, before ending 5:00 to 7:00 PM that evening. Temperatures rose to 33 - 35 by the end of the event. The long duration of freezing rain caused repeated periods of icing.",28035,Boston,MA,02111,2017-12-23T04:00:00,2017-12-23T20:00:00,38884
Freezing Rain,0.0,0.0,,0.25,0.25,,,"Low Pressure Brings Long Duration Icing Event December 23rd. Freezing rain entered the area between 5:00 and 7:00 AM December 23rd with temperatures in the mid 20s. The freezing rain continued through the afternoon, before ending 5:00 to 7:00 PM that evening. Temperatures rose to 32 - 34 by the end of the event. The long duration of freezing rain caused repeated periods of icing.",28035,Springfield,MA,01103,2017-12-23T04:00:00,2017-12-23T20:00:00,38791
Freezing Rain,0.0,0.0,,0.4,0.4,,,"Low Pressure Brings Long Duration Icing Event December 23rd. A mix of freezing rain and sleet entered the area between 5:00 and 7:00 AM December 23rd with temperatures in the low to mid 20s. Freezing rain continued through the afternoon, before ending 4:00 to 6:00 PM that evening. Temperatures rose to 32 - 34 by the end of the event. The long duration of freezing rain caused repeated periods of icing.",28035,Worcester,MA,01608,2017-12-23T04:00:00,2017-12-23T20:00:00,38841
Freezing Rain,0.0,0.0,,0.4,0.4,,,"Low Pressure Brings Long Duration Icing Event December 23rd. A mix of freezing rain and sleet entered the area between 6:00 and 8:00 AM December 23rd with temperatures in the mid 20s. Freezing rain continued through the afternoon, before ending 6:00 to 8:00 PM that evening. Temperatures rose to 32 - 34 by the end of the event. The long duration of freezing rain caused repeated periods of icing.",28035,Lowell,MA,01851,2017-12-23T04:00:00,2017-12-23T20:00:00,38859
Snow,3.3,3.3,,N/A,0,,,"Christmas Day Winter Storm. A mix of light rain and snow entered the area between 2:00 and 4:00 AM December 25th with temperatures in the mid 30s. Much colder air rushed into the area between 6:30 and 7:30 AM, changing precipitation to all snow with temperatures falling into the low to mid 20s. Any lingering wet or slushy areas quickly turned to ice. The snow became very heavy, with rates reaching 1-2"" per hour in the heaviest bands, before tapering off 10:00 AM - 12:00 PM. Northerly winds became very gusty towards the end of the event, with gusts reaching 35 - 45 mph.",28057,Boston,MA,02111,2017-12-25T00:00:00,2017-12-25T16:00:00,38884
Wintry Mix,4.5,4.5,,Patchy,0,Patchy,,"Christmas Day Snowstorm. Light snow entered the area between 11:00 PM December 24th and 1:00 AM December 25th. A steady light snow continued through the early morning hours, mixing with some freezing drizzle at times. The snow became heavy at times between 5:00 and 8:00 AM, with snowfall rates reaching 1 - 2"" per hour. Most of the steady snow tapered off by late morning, but intermittent snow showers continued through 11:00 AM to 1:00 PM. Temperatures were steady in the mid 20s throughout the event. Northerly winds became very gusty towards the end of the event, with gusts reaching 30 - 40 mph.",28057,Springfield,MA,01103,2017-12-25T00:00:00,2017-12-25T16:00:00,38791
Snow,4.3,4.3,,N/A,0,,,"Christmas Day Snowstorm. Light snow entered the area between 12:00 to 2:00 AM December 25th. A steady light snow continued through the early morning hours, becoming heavy at times between 5:00 and 8:00 AM. Snowfall rates reach 1-2"" per hour in the heaviest bands. Most of the steady snow tapered off by late morning, but intermittent snow showers and flurries continued through 11:00 AM to 1:00 PM. Temperatures were steady in the mid 20s throughout the snow. Northerly winds became very gusty towards the end of the event, with gusts reaching 30 - 40 mph.",28057,Worcester,MA,01608,2017-12-25T00:00:00,2017-12-25T16:00:00,38841
Snow,6.1,6.1,,N/A,0,,,"Christmas Day Snowstorm. Light snow entered the area between 1:00 to 3:00 AM December 25th. A steady light snow continued through the early morning hours, becoming heavy at times between 5:00 and 8:00 AM. Snowfall rates reach 1-2"" per hour in the heaviest bands. Most of the steady snow tapered off by late morning, but intermittent snow showers and flurries continued through 11:00 AM to 1:00 PM. Temperatures were steady in the mid 20s throughout the snow. Northerly winds became very gusty towards the end of the event, with gusts reaching 30 - 40 mph.",28057,Lowell,MA,01851,2017-12-25T00:00:00,2017-12-25T16:00:00,38859
Snow,0.1,0.1,,N/A,0,,,"Rain Changes to Heavy Snow Christmas Day. Light rain entered the area between 1:00 and 3:00 AM December 25th with temperatures in the upper 30s. Much colder air rushed into the area between 9:00 and 10:00 AM, changing precipitation to all snow with temperatures falling to near 30. During the transition to snow, westerly winds briefly gusted to 60 - 70 mph. The snow became briefly heavy at times, before tapering off 10:00 AM - 12:00 PM.",28057,Barnstable Town,MA,02601,2017-12-25T00:00:00,2017-12-25T16:00:00,38988
Snow,0.2,0.2,,N/A,0,,,Clipper System Brings Light Snow . December 30th. A steady light snow moved through the area from 12:00 to 6:00 PM December 30th. Temperatures were steady between 15 - 19 degrees throughout the event.,28224,Boston,MA,02111,2017-12-30T08:00:00,2017-12-30T23:00:00,38884
Snow,0.5,0.5,,N/A,0,,,Clipper System Brings Light Snow . December 30th. A steady light snow entered the area between 9:00 and 11:00 AM December 30th. The steady snow continued through 3:00 to 5:00 PM that evening. Temperatures were steady between 9 - 14 degrees throughout the event.,28224,Springfield,MA,01103,2017-12-30T08:00:00,2017-12-30T23:00:00,38791
Snow,0.5,0.5,,N/A,0,,,Clipper System Brings Light Snow . December 30th. A steady light snow entered the area between 9:00 and 11:00 AM December 30th. The steady snow continued through 5:00 to 7:00 PM that evening. Temperatures were steady between 9 - 14 degrees throughout the event.,28224,Worcester,MA,01608,2017-12-30T08:00:00,2017-12-30T23:00:00,38841
Snow,0.1,0.1,,N/A,0,,,Clipper System Brings Light Snow . December 30th. A steady light snow moved through the area from 11:00 AM to 3:00 PM December 30th. Temperatures were steady between 10 - 14 degrees throughout the event.,28224,Lowell,MA,01851,2017-12-30T08:00:00,2017-12-30T23:00:00,38859
Snow,1.5,1.5,,N/A,0,,,Clipper System Brings Light Snow . December 30th. A steady light snow entered the area between 1:00 and 3:00 PM December 30th. The steady snow continued through 9:00 to 11:00 PM that evening. Temperatures were steady between 17 - 22 degrees throughout the event.,28224,Barnstable Town,MA,02601,2017-12-30T08:00:00,2017-12-30T23:00:00,38988
Snow,14.8,14.8,,N/A,0,,,"Strong Coastal Storm Brings Blizzard-Like Conditions. A steady snow moved into the area between 6:00 and 8:00 AM January 4th. The snow quickly became heavy at times during the late morning and early afternoon hours, with rates reaching 2-3"" per hour. As the snow became heavier, northwest winds began gusting to 40 - 50 mph, causing significant blowing and drifting snow. The steady snow and strong winds continued through the evening hours, before tapering off between 8:00 and 10:00 PM. Blowing and drifitng snow continued through the overnight hours, well after the falling snow ended. Temperatures were steady between 25 and 30 degrees throughout the event. . Note. : . The combination of strong winds, heavy snow and a long period of cold weather made this a high-impact storm. Winds in particular led to significant blowing and drifting, which resulted in substantial variability of snow accumulation and higher-than-normal drifts.",28347,Boston,MA,02111,2018-01-04T03:00:00,2018-01-04T23:00:00,38884
Snow,11.3,11.3,,N/A,0,,,"Strong Coastal Storm Brings Heavy Snow and Wind. A steady snow moved into the area between 4:00 and 6:00 AM January 4th. The snow quickly became heavy at times during the late morning and early afternoon hours, with rates reaching 1-2"" per hour. As the snow became heavier, northwest winds began gusting to 35 - 45 mph, causing significant blowing and drifting snow. The steady snow and strong winds continued through the evening hours, before tapering off between 8:00 and 10:00 PM. Blowing and drifitng snow continued through the overnight hours, well after the falling snow ended. Temperatures were steady in the upper teens and lower 20s throughout the event. . Note. : . The combination of strong winds, heavy snow and a long period of cold weather made this a high-impact storm. Winds in particular led to significant blowing and drifting, which resulted in substantial variability of snow accumulation and higher-than-normal drifts.",28347,Springfield,MA,01103,2018-01-04T03:00:00,2018-01-04T23:00:00,38791
Snow,16.1,16.1,,N/A,0,,,"Strong Coastal Storm Brings Heavy Snow and Wind. A steady snow moved into the area between 3:00 and 5:00 AM January 4th. The snow quickly became heavy at times during the late morning and early afternoon hours, with rates reaching 1-2"" per hour. As the snow became heavier, northwest winds began gusting to 45 - 55 mph, causing significant blowing and drifting snow. The steady snow and strong winds continued through the evening hours, before tapering off between 9:00 and 11:00 PM. Blowing and drifitng snow continued through the overnight hours, well after the falling snow ended. Temperatures were steady in the upper teens and lower 20s throughout the event. . Note. : . The combination of strong winds, heavy snow and a long period of cold weather made this a high-impact storm. Winds in particular led to significant blowing and drifting, which resulted in substantial variability of snow accumulation and higher-than-normal drifts.",28347,Worcester,MA,01608,2018-01-04T03:00:00,2018-01-04T23:00:00,38841
Snow,15.2,15.2,,N/A,0,,,"Strong Coastal Storm Brings Blizzard-Like Conditions. A steady snow moved into the area between 6:00 and 8:00 AM January 4th. The snow quickly became heavy at times during the late morning and early afternoon hours, with rates reaching 2-3"" per hour. As the snow became heavier, northwest winds began gusting to 40 - 50 mph, causing significant blowing and drifting snow. The steady snow and strong winds continued through the evening hours, before tapering off between 8:00 and 10:00 PM. Blowing and drifitng snow continued through the overnight hours, well after the falling snow ended. Temperatures were steady between 25 and 30 degrees throughout the event. . Note. : . The combination of strong winds, heavy snow and a long period of cold weather made this a high-impact storm. Winds in particular led to significant blowing and drifting, which resulted in substantial variability of snow accumulation and higher-than-normal drifts.",28347,Lowell,MA,01851,2018-01-04T03:00:00,2018-01-04T23:00:00,38859
Snow,0.7,0.7,,N/A,0,,,"Potent Coastal Storm Brings Rain and Snow. Rain moved into the area between 5:00 and 7:00 AM January 4th with temperatures in the to upper 30s. As colder air rushed into the area, the rain changed to snow with temperatures falling to 32 - 34 degrees. The snow continued through the afternoon, before tapering off between 7:00 and 9:00 PM that evening. Strong north winds gusted to 60 - 70 mph. By the time the snow ended, temperatures had fallen into the upper 20s, allowing any wet/slushy areas to quickly become icy.",28347,Barnstable Town,MA,02601,2018-01-04T03:00:00,2018-01-04T23:00:00,38988
Snow,Scattered Coating,0.0,Scattered Coating,N/A,0,,,Quick Hitting Storm System Brings Wintry Mix. A period of light snow moved through the area between 5:00 and 8:00 PM January 8th with temperatures ranging from 33 - 36 degrees. The snow briefly mixed with rain and sleet at the onset.,28447,Boston,MA,02111,2018-01-08T15:00:00,2018-01-08T23:00:00,38884
Snow,0.1,0.1,,N/A,0,,,"Quick Hitting Storm System Brings Snow. A mix of sleet and snow entered the area between 1:00 and 3:00 PM January 8th. Any mixture quickly changed to all snow, before ending between 4:00 and 6:00 PM that evening. Temperatures were steady between 25 and 30 degrees.",28447,Springfield,MA,01103,2018-01-08T15:00:00,2018-01-08T23:00:00,38791
Snow,0.4,0.4,,N/A,0,,,"Quick Hitting Storm System Brings Snow. A mix of sleet and snow entered the area between 2:00 and 4:00 PM January 8th. Any mixture quickly changed to all snow, before ending between 5:00 and 7:00 PM that evening. Temperatures were steady between 25 and 30 degrees.",28447,Worcester,MA,01608,2018-01-08T15:00:00,2018-01-08T23:00:00,38841
Snow,Coating,0.0,Coating,N/A,0,,,Quick Hitting Storm System Brings Wintry Mix. A period of light snow moved through the area between 5:00 and 8:00 PM January 8th with temperatures ranging from 33 - 36 degrees. The snow briefly mixed with rain and sleet at the onset.,28447,Lowell,MA,01851,2018-01-08T15:00:00,2018-01-08T23:00:00,38859
Snow,0.1,0.1,,N/A,0,,,"Brief Shot of Snow January 8 - 9th. A brief period of snow moved through the area between 11:00 PM January 8th and 1:00 AM January 9th. Temperatures ranged from 32 - 34 degrees. Some sleet and rain mixed with the snow at times, especially at the onset.",28447,Barnstable Town,MA,02601,2018-01-08T15:00:00,2018-01-08T23:00:00,38988
Snow,0.4,0.4,,N/A,0,,,Ocean Effect Snow January 15th. Light snow entered the area between 2:00 and 4:00 AM January 15th. The steady light snow continued through 9:00 to 11:00 AM that same morning. Temperatures ranged from 10 - 15 degrees throughout the event.,28627,Boston,MA,02111,2018-01-15T01:00:00,2018-01-15T23:00:00,38884
Wintry Mix,0.5,0.5,,Patchy,0,Patchy,,"Ocean Effect Snow Returns January 15th. Light snow netered the area between 9:00 and 11:00 AM January 15th. The snow continued intermittently through 11:00 PM January 15th and 2:00 AM January 16th, mixing with a bit of freezing rain at times. Temperatures ranged from 29 - 32 degrees throughout the event.",28627,Barnstable Town,MA,02601,2018-01-15T01:00:00,2018-01-15T23:00:00,38988
Wintry Mix,1.8,1.8,,Patchy,0,Patchy,,"Snow Ends as a Wintry Mix January 17th. A steady light to moderate snow entered the area between 5:00 and 7:00 AM January 17th. The snow continued through the morning hours, becoming moderate at times. As the snow became lighter during the afternoon and evening, the snow began to mix with a bit of freezing rain and sleet. All precipitation came to an end between 8:00 and 10:00 PM that evening. Temperatures were steady between 31 - 33 degrees throughout the event.",28690,Boston,MA,02111,2018-01-16T04:00:00,2018-01-17T22:00:00,38884
Snow,3.2,3.2,,N/A,0,,,"Long Duration Snowfall Event January 16 - 17th. A steady light to moderate snow entered the area between 2:00 and 4:00 PM January 16th. The steady snow continued through the overnight and into the morning hours on the 17th. The snow lightened up a bit during the late morning hours, before re-intensitfying during the late morning and afternoon. The snow came to an end betwen 3:00 and 5:00 PM January 17th.  Temperatures were steady between 28 - 30 degrees throughout the event.",28690,Springfield,MA,01103,2018-01-16T04:00:00,2018-01-17T22:00:00,38791
Snow,3.8,3.8,,N/A,0,,,"Steady Snowfall January 17th. A steady light to moderate snow entered the area between 12:00 and 2:00 AM January 17th. The snow continued through the morning hours at varying intensities, before tapering off between 4:00 and 6:00 PM that evening .  Temperatures were steady between 28 - 30 degrees throughout the event.",28690,Worcester,MA,01608,2018-01-16T04:00:00,2018-01-17T22:00:00,38841
Snow,4.4,4.4,,N/A,0,,,"Steady Snowfall January 17th. A steady light to moderate snow entered the area between 10:00 PM January 16th and 12:00 AM January 17th. The snow continued through sunrise, becoming moderate at times during the mid to late morning hours. The snow tapered off between 6:00 and 8:00 PM that evening.  Temperatures were steady between 32 - 33 through most of the event, but rose to 33 - 35 by the end of the event.",28690,Lowell,MA,01851,2018-01-16T04:00:00,2018-01-17T22:00:00,38859
Snow,3.1,3.1,,N/A,0,,,"Snow Changes to Rain January 17th. A steady light to moderate snow entered the area between 12:00 and 2:00 AM January 17th. The snow continued through the morning hours, before mixing with, and changing to rain between 7:00 and 9:00 AM that same day. Temperatures began between 32 - 34, but rose into the mid 30s as precipitation changed to rain.",28690,Barnstable Town,MA,02601,2018-01-16T04:00:00,2018-01-17T22:00:00,38988
Snow,2.6,2.6,,N/A,0,,,"Coastal Storm Brings Snow January 29 - 30th. A steady snow entered the area between 8:00 and 10:00 PM January 29th. The snow continued into the overnight and through sunrise, falling moderate at times durinr the mid to late morning hours. The snow came to an end between 10:00 AM and 12:00 PM that day. Temperatures began between near 32 degrees, but fell to 21 - 23 degrees by the end of the event.",28948,Boston,MA,02111,2018-01-29T22:00:00,2018-01-30T17:00:00,38884
Snow,0.5,0.5,,N/A,0,,,Brief Morning Snow Shower January 30th. A few light snow showers moved through the area between 3:00 and 7:00 AM January 30th. Temperatures were steady in the mid 20s.,28948,Springfield,MA,01103,2018-01-29T22:00:00,2018-01-30T17:00:00,38791
Snow,1.5,1.5,,N/A,0,,,"Coastal Storm Brings Snow January 30th. A steady snow entered the area between 11:00 PM January 29th and 1:00 AM January 30th. The light to moderate snow continued through the morning hours, before tapering off between 9:00 and 11:00 AM. Temperatures were steady between 19 - 24 degrees throughout the event.",28948,Worcester,MA,01608,2018-01-29T22:00:00,2018-01-30T17:00:00,38841
Snow,Scattered Coating,0.0,Scattered Coating,N/A,0,,,Coastal Storm Brings Light Snow January 29-30th    . A few light periods of snow entered the area between 11:00 PM January 29th and 1:00 AM January 30th. The snow continued intermittently through 7:00 to 9:00 AM January 30th. Temperatures were steady in the mid to upper 20s.,28948,Lowell,MA,01851,2018-01-29T22:00:00,2018-01-30T17:00:00,38859
Snow,4.5,4.5,,N/A,0,,,"Coastal Storm Brings Heavy Snow January 29 - 30th. A mix of rain and snow entered the area between 7:00 and 9:00 PM January 29th. Any mixed precipitation quickly changed to all snow between 2:00 and 4:00 AM January 30th. The snow continued through sunrise, becoming moderate to heavy at times during the mid to late morning hours. The snow came to an end between 3:00 and 5:00 PM that evening. Temperatures began in the mid 30s, but fell to 24 - 27 degrees by the end of the event.",28948,Barnstable Town,MA,02601,2018-01-29T22:00:00,2018-01-30T17:00:00,38988
Snow,0.1,0.1,,N/A,0,,,"Rain Ends as Period of Wet Snow February 2nd. Periods of rain changed to snow between 4:00 and 6:00 AM February 2nd. The snow continued through 10:00 AM to 12:00 PM that same day. Temperatures began in the mid 30s, but fell into the upper 20s by the end of the event.",29019,Boston,MA,02111,2018-02-01T23:00:00,2018-02-02T13:00:00,38884
Snow,0.8,0.8,,N/A,0,,,"Cold Front Brings Wet Snow February 2nd. Rain showers changed to a steady light snow between 11:00 PM February 1st and 1:00 AM February 2nd as temperatures fell from the mid 30s to near freezing. The snow became briefly moderate at times, before ending between 4:00 and 6:00 AM that morning. Temperatures crashed into the mid 20s after the snow ended.",29019,Springfield,MA,01103,2018-02-01T23:00:00,2018-02-02T13:00:00,38791
Snow,0.7,0.7,,N/A,0,,,"Cold Front Brings Wet Snow February 2nd. Rain showers changed to a steady light snow between 11:00 PM February 1st and 1:00 AM February 2nd as temperatures fell from the mid 30s to near freezing. The snow became briefly moderate at times, before ending between 6:00 and 8:00 AM that morning. Temperatures crashed into the mid 20s by the end of the event. Due to marginal temperatures, accumulations were variable with the higher amounts over the elevations.",29019,Worcester,MA,01608,2018-02-01T23:00:00,2018-02-02T13:00:00,38841
Snow,0.5,0.5,,N/A,0,,,"Rain Ends as Brief Period of Wet Snow February 2nd. Periods of rain changed to a brief period of wet snow between 3:00 and 8:00 AM February 2nd. Temperatures ranged between 33 - 36 degrees during the mix, but fell into the upper 20s after the snow ended.",29019,Lowell,MA,01851,2018-02-01T23:00:00,2018-02-02T13:00:00,38859
Snow,0.8,0.8,,N/A,0,,,"Rain Ends as Period of Wet Snow February 2nd. Periods of rain changed to snow between 6:00 and 8:00 AM February 2nd. The snow continued through 10:00 AM to 12:00 PM that same day. Temperatures began in the mid 30s, but fell into the upper 20s by the end of the event.",29019,Barnstable Town,MA,02601,2018-02-01T23:00:00,2018-02-02T13:00:00,38988
Snow,Scattered Coating,0.0,Scattered Coating,N/A,0,,,Upper Level Disturbance Brings Snow Shower February 6th. A few flurries and snow showers moved through the area between 10:00 AM and 1:00 PM February 6th. Temperatures ranged from 24 - 28 degrees.,29135,Boston,MA,02111,2018-02-06T07:00:00,2018-02-06T13:00:00,38884
Snow,0.3,0.3,,N/A,0,,,Upper Level Disturbance Brings Light Snow February 6th. A period of light to moderate snow moved through the area between 8:00 and 11:00 AM February 6th. Temperatures ranged from 18 - 22 degrees.,29135,Springfield,MA,01103,2018-02-06T07:00:00,2018-02-06T13:00:00,38791
Snow,0.5,0.5,,N/A,0,,,Upper Level Disturbance Brings Light Snow February 6th. A period of light to moderate snow moved through the area between 9:00 and 11:00 AM February 6th. Temperatures ranged from 19 - 23 degrees.,29135,Worcester,MA,01608,2018-02-06T07:00:00,2018-02-06T13:00:00,38841
Snow,Coating,0.0,Coating,N/A,0,,,Upper Level Disturbance Brings Snow Shower February 6th. A few flurries and snow showers moved through the area between 10:00 AM and 1:00 PM February 6th. Temperatures ranged from 24 - 28 degrees.,29135,Lowell,MA,01851,2018-02-06T07:00:00,2018-02-06T13:00:00,38859
